"DateTime","BTC","ETH","USDT","BNB","SOL","Others"
"2023-09-23 12:15:00",517935727000.477,191502357653.47226,83206932156.19788,32452103380.922855,8046093333.66997,221593736025.21002
"2023-09-30 12:15:00",525612210410.2983,201533386394.84326,83251070229.82007,33071029980.646004,8392209936.402388,224557648481.94
"2023-10-07 12:15:00",546153764560.981,197453060003.0612,83494506928.18181,32866423512.586662,9811265847.492254,226023321301.7371
"2023-10-14 12:15:00",524502804361.9655,186276967835.35754,83520627229.94574,31714624968.44451,9234261404.468113,215303384188.3686
"2023-10-21 12:15:00",579058861115.135,193016059833.98276,84192608242.84338,32256600729.55813,11665204935.453768,223466180371.807
"2023-10-28 12:15:00",665653198261.7052,215211432350.9484,84544205824.90675,34395484888.76772,13504819220.942795,244138356918.6491
"2023-11-04 11:15:00",681045089337.6025,221727021596.89154,85414444474.41629,35550013936.60701,17824773944.468445,259989500779.16415
"2023-11-11 11:15:00",722517470477.5966,246575336561.31714,86722101997.49722,37717368919.421196,23242417486.011127,289116903425.4868
"2023-11-18 11:15:00",712171992458.5131,233290381658.00714,87713660134.44324,36824190740.195045,24006963775.396534,284993812744.82495
"2023-11-25 11:15:00",738352589036.4792,250388458518.67413,88760417182.01549,35627862871.18029,24827639827.863113,298531087549.9378
"2023-12-02 11:15:00",757845906015.5931,252898642695.32703,89555755504.67712,34679045637.52755,26302814582.575237,297419260978.6
"2023-12-09 11:15:00",858334677329.7687,284331890790.7989,90370278772.6193,36640820113.23,32441370702.92855,341205624132.54456
"2023-12-16 11:15:00",826536251300.5546,270155490857.15988,90858916777.84198,37459705316.82396,31695783923.589214,343873414521.8704
"2023-12-23 11:15:00",854990194861.2208,275677889029.4499,91255540308.32506,40685909928.286316,41079711722.5334,356140738432.1146
"2023-12-30 11:15:00",814763625816.1096,273422107506.01843,91713646109.07423,48000040625.96134,43572321331.475204,362884051326.0811
"2024-01-06 11:15:00",857024714808.8375,268968035598.21384,93426541082.80353,46334069018.21633,41061582188.68467,338259556034.07416
"2024-01-13 11:15:00",843393240312.33,305812457107.43036,95003689196.61124,45479226694.86926,40072868053.61869,355481374311.8104
"2024-01-20 11:15:00",814339361343.8488,297123158477.34576,95054941411.28546,46912209471.05962,39764938542.60707,342395341763.9933
"2024-01-27 11:15:00",814576304378.0321,271437680618.70956,96032096375.47977,45336203687.955986,39520367187.0238,337133460371.38873
"2024-02-03 11:15:00",844137197273.2783,277631590766.9153,96202232279.8451,45129308798.42862,43095903311.906784,344907446608.6759
"2024-02-10 11:15:00",924983302684.2245,299330638067.7184,96288205325.96252,48216684870.67953,47400351091.764175,362928644222.24097
"2024-02-17 11:15:00",1015536453630.8438,333396158263.3542,97608794336.35371,53332094863.53992,48021463355.83582,388831964289.5126
"2024-02-24 11:15:00",1002045630496.9199,354974060032.505,97890430951.50465,56930917050.23763,45115053546.18773,401157854262.6651
"2024-03-02 11:15:00",1217991132761.3438,410995583043.90454,99268664190.72388,61297986650.85809,57544881626.80274,486109750224.1369
"2024-03-09 11:15:00",1344112395040.91,472272569907.9535,101782084917.19438,72903287823.69582,65520709629.38918,546413837422.7073
"2024-03-16 11:15:00",1356496671442.3318,446520321867.9443,103289176674.10936,91721977767.0762,85834098256.57788,549012415092.7706
"2024-03-23 11:15:00",1262748273669.0771,399901414158.456,104036242409.15128,82448596565.18411,77708681713.40352,520745789778.7779
"2024-03-30 11:15:00",1377003884285.9268,420943315647.2301,104546730745.65034,89661598216.29065,86537043516.89746,563134441976.0348
"2024-04-06 12:15:00",1339987320402.0261,402111366376.62994,106841452618.46085,87335279880.41873,79299178381.56425,532584826035.77
"2024-04-13 12:15:00",1321924551967.2378,390693665500.6143,107387240151.67035,89183535167.19753,67055205695.77791,465257232558.162
"2024-04-20 12:15:00",1251753581100.3245,365303385931.46704,109527647606.92538,83333537453.32529,63321541418.0599,445913253229.548
"2024-04-27 12:15:00",1238033315265.4675,379762179543.7668,110494988980.52368,87514400099.21431,60739283824.38779,441050057846.32007
"2024-05-04 12:15:00",1246127903152.2512,373856107906.9873,110799398306.95688,86507479258.09041,64955190033.3547,454756762877.02954
"2024-05-11 12:15:00",1197683575846.1658,349251401175.57245,110814747142.07973,86676054953.5678,64796607459.36048,440782326433.4739
"2024-05-18 12:15:00",1320728949382.8845,374333207329.5658,111368457242.5428,85608403576.42197,77745210303.89183,464006062286.42316
"2024-05-25 12:15:00",1357887365023.7883,449125782572.593,111911879089.31888,88883618831.10869,75888934074.43997,478807552378.2211
"2024-06-01 12:15:00",1333468667915.4478,456494956497.20184,111926579844.1788,87841242474.72682,76854328180.61205,463855211098.3727
"2024-06-08 12:15:00",1368138966886.7,444063149098.2677,112407354158.22128,102130484508.27396,74818156875.90126,450558237240.34595
"2024-06-15 12:15:00",1305440635367.225,424796632307.1708,112483308723.8417,89733299508.82224,66552865439.454185,417206044063.676
"2024-06-22 12:15:00",1266962115260.2861,426012191339.9141,112884528251.24121,86440467750.93863,61883369800.09388,384394937041.6359
"2024-06-29 12:15:00",1200054317767.186,407135434890.64954,112676643387.69327,84190662423.91298,65617677622.737335,387145550771.16077
"2024-07-06 12:15:00",1114320457166.5906,359882661359.10645,112228123596.93446,74945171388.09546,63561348608.23598,349805170505.547
"2024-07-13 12:15:00",1143874676196.8135,377030681271.9705,112447580099.18436,79082645437.03278,64462645195.862206,373710041184.4365
"2024-07-20 12:15:00",1314081108339.1025,419549384425.40906,113944563657.3355,87145405297.97064,78422227526.75385,412307826152.6084
"2024-07-27 12:15:00",1343814221438.4092,393566818052.30945,114358690549.61469,85819996251.64993,86896168463.60889,403246229768.548
"2024-08-03 12:15:00",1212805265247.7856,358151241045.18524,114439643312.71642,78448121010.13756,69297466882.47504,355968850151.44006
"2024-08-10 12:15:00",1201604553408.6829,316595754068.24347,115433553566.80487,74983521250.08018,72015747624.06372,346379431595.52496
"2024-08-17 12:15:00",1170044645843.0479,312608818491.8534,116865378670.96146,76429226593.93625,64950671189.61064,336947421755.1505
"2024-08-24 12:15:00",1269395560602.6384,333642606264.4429,117745541764.38007,84834944704.08122,72349423478.4305,385613700189.79694
"2024-08-31 12:15:00",1162849878335.4607,302451565349.0539,118230153567.6288,78130366018.1006,63512752739.584145,345623281282.7919
"2024-09-07 12:15:00",1072641394850.3431,275632413242.2942,118178670247.04384,72319448402.03426,59518855391.36514,325428613262.7894
"2024-09-14 12:15:00",1185811966625.426,291110380946.84,118617070415.18994,80702949726.5137,64292307609.37271,357332850769.30774
