"DateTime","Futures","Perpetuals"
"2023-11-07 09:35:00",1809838605.65,100780056035.31
"2023-11-07 22:10:00",1832765727.69,109929593350
"2023-11-08 10:45:00",1836845329.53,108935083697.63
"2023-11-08 23:20:00",1875008393.4,109830407063.92
"2023-11-09 11:55:00",1903681339.81,128758530850.28
"2023-11-10 00:30:00",1974164277.57,117639771274.91
"2023-11-10 13:05:00",1907636695.84,114699275844.25
"2023-11-11 01:40:00",1928891642.61,115236209719.63
"2023-11-11 14:15:00",1938283172.22,106519120282.02
"2023-11-12 02:50:00",1942450141.9,123294107420.56
"2023-11-12 15:25:00",1944749944.44,124374568963.75
"2023-11-13 04:00:00",1950551931.58,130924513508.85
"2023-11-13 16:35:00",1986966499.6,127747659700.51
"2023-11-14 05:10:00",2001918823.33,125641626937.59
"2023-11-14 17:45:00",2020364981,132455091218.35
"2023-11-15 06:20:00",2010105267.72,126577399642.93
"2023-11-15 18:55:00",2036135544.43,129273812293.65
"2023-11-16 07:30:00",2061436370.54,146589471919.02
"2023-11-16 20:05:00",2076790334.55,118492874626.03
"2023-11-17 08:40:00",2083993152.08,119281581384.89
"2023-11-17 21:15:00",2012031019.43,120094934798.9
"2023-11-18 09:50:00",2011258870.22,113250577285.57
"2023-11-18 22:25:00",2024695667.44,112895970046.85
"2023-11-19 11:00:00",2021901120.42,114220639911.31
"2023-11-19 23:35:00",2033004322.4,110038605292.11
"2023-11-20 12:10:00",2051590483.05,117172857476.64
"2023-11-21 00:45:00",2137359237.12,117048154271.84
"2023-11-21 13:20:00",2159503083.54,110245688241.61
"2023-11-22 01:55:00",2173170783.95,120710892943.51
"2023-11-22 14:30:00",2195611812.42,115607287492.86
"2023-11-23 03:05:00",2225728989.43,121561771092.18
"2023-11-23 15:40:00",2247039842.25,113598425575.98
"2023-11-24 04:15:00",2251987246.06,112614023215.45
"2023-11-24 16:50:00",1795158823.35,110812720092.9
"2023-11-25 05:25:00",1817824014.09,121445999861.2
"2023-11-25 18:00:00",1817908736.03,115813781729.96
"2023-11-26 06:35:00",1834056491.31,125346316202.98
"2023-11-26 19:10:00",1836770603.42,137762814257.37
"2023-11-27 07:45:00",1842743673.98,119102606746.03
"2023-11-27 20:20:00",1852827689.21,107768032222.49
"2023-11-28 08:55:00",1856976097.41,110303576371.98
"2023-11-28 21:30:00",1894623413.06,128137633756.4
"2023-11-29 10:05:00",1894925250.6,123009672706.41
"2023-11-29 22:40:00",1901114947.11,112873239099.59
"2023-11-30 11:15:00",1901248259.64,116731156819.77
"2023-11-30 23:50:00",1892360621.74,119680390529.27
"2023-12-01 12:25:00",1904356364.3,122698833934.64
"2023-12-02 01:00:00",1916430997.55,138609188664.04
"2023-12-02 13:35:00",1925519803.21,135895288798.36
"2023-12-03 02:10:00",1940876369.56,138718622510.16
"2023-12-03 14:45:00",1949120462.39,125742132142.54
"2023-12-04 03:20:00",1972713993.29,143087187337.55
"2023-12-04 15:55:00",2050510130.89,174003466115.3
"2023-12-05 04:30:00",2055952733.3,153563807130.06
"2023-12-05 17:05:00",2052169361.79,142193421624.2
"2023-12-06 05:40:00",2074148131.56,142758323562.37
"2023-12-06 18:15:00",2078707577.34,149595892072.92
"2023-12-07 06:50:00",2100506804.62,130191207898.33
"2023-12-07 19:25:00",2103514166.88,144101154107.77
"2023-12-08 08:00:00",2123159247.8,131428817545.03
"2023-12-08 20:35:00",2052743107.46,146610087615.13
"2023-12-09 09:10:00",2066672789.07,146583638064.24
"2023-12-09 21:45:00",2072910343.35,149042089441.78
