Date,ADA
11/12/2022,0.339144
11/13/2022,0.330127
11/14/2022,0.331849
11/15/2022,0.337009
11/16/2022,0.332382
11/17/2022,0.324859
11/18/2022,0.326221
11/19/2022,0.328512
11/20/2022,0.312307
11/21/2022,0.304548
11/22/2022,0.311922
11/23/2022,0.318317
11/24/2022,0.316458
11/25/2022,0.314989
11/26/2022,0.31379
11/27/2022,0.312454
11/28/2022,0.3067
11/29/2022,0.309372
11/30/2022,0.318883
12/01/2022,0.314484
12/02/2022,0.319407
12/03/2022,0.319654
12/04/2022,0.32275
12/05/2022,0.319517
12/06/2022,0.318464
12/07/2022,0.31032
12/08/2022,0.314843
12/09/2022,0.311677
12/10/2022,0.312606
12/11/2022,0.307711
12/12/2022,0.306949
12/13/2022,0.312865
12/14/2022,0.308134
12/15/2022,0.300201
12/16/2022,0.26407
12/17/2022,0.2669
12/18/2022,0.266335
12/19/2022,0.252944
12/20/2022,0.259007
12/21/2022,0.253154
12/22/2022,0.256523
12/23/2022,0.259429
12/24/2022,0.259368
12/25/2022,0.25927
12/26/2022,0.265297
12/27/2022,0.26037
12/28/2022,0.248378
12/29/2022,0.24414
12/30/2022,0.245557
12/31/2022,0.246466
01/01/2023,0.249771
01/02/2023,0.253828
01/03/2023,0.252796
01/04/2023,0.267677
01/05/2023,0.269102
01/06/2023,0.278652
01/07/2023,0.277105
01/08/2023,0.295218
01/09/2023,0.317102
01/10/2023,0.322496
01/11/2023,0.322749
01/12/2023,0.329758
01/13/2023,0.345771
01/14/2023,0.352552
01/15/2023,0.350368
01/16/2023,0.35004
01/17/2023,0.345761
01/18/2023,0.326835
01/19/2023,0.339099
01/20/2023,0.364586
01/21/2023,0.369026
01/22/2023,0.376594
01/23/2023,0.375504
01/24/2023,0.359297
01/25/2023,0.37341
01/26/2023,0.380059
01/27/2023,0.388979
01/28/2023,0.382351
01/29/2023,0.396313
01/30/2023,0.372511
01/31/2023,0.390926
02/01/2023,0.397243
02/02/2023,0.397563
02/03/2023,0.404336
02/04/2023,0.399726
02/05/2023,0.392472
02/06/2023,0.382421
02/07/2023,0.39921
02/08/2023,0.394033
02/09/2023,0.362531
02/10/2023,0.358635
02/11/2023,0.369202
02/12/2023,0.364296
02/13/2023,0.359627
02/14/2023,0.386441
02/15/2023,0.418115
02/16/2023,0.387902
