date,open,high,low,close,volume
2022-03-25,0.701726491016451,0.7035624894052149,0.6559152526687435,0.6716278020039269,1593197.4328709994
2022-03-26,0.6716278020039269,0.6719951706363467,0.6419540458258538,0.6428730504911222,877031.5344290002
2022-03-27,0.6428730504911222,0.6686083588042913,0.6360361522898743,0.64066056007132,1273996.5491559994
2022-03-28,0.64066056007132,0.64066056007132,0.6184659322802035,0.6217545551640525,554975.2679679999
2022-03-29,0.6217545551640525,0.6223540594479088,0.6080452582109047,0.6097931787491124,431976.68238600035
2022-03-30,0.6097931787491124,0.6107049458449539,0.5913721889132856,0.5918688093265213,660430.3793289999
2022-03-31,0.5918688093265213,0.5919246927278328,0.5791019360516922,0.5817950938020102,611894.122405
2022-04-01,0.5817950938020102,0.5861259759751607,0.566950801011115,0.5677287220457037,536684.3541990002
2022-04-02,0.5677287220457037,0.5678305226333644,0.5616484597433229,0.5659256555492035,203849.680414
2022-04-03,0.5659256555492035,0.5662655417276807,0.5600469916387316,0.5603514480874936,162362.41102
2022-04-04,0.5603514480874936,0.578167469430017,0.5600608083425138,0.56998990027675,830107.1689989995
2022-04-05,0.56998990027675,0.5765531672325995,0.5699898602025412,0.5715295075774129,289881.7778500002
2022-04-06,0.5715295075774129,0.588673865467174,0.5715295075774129,0.5799045591468306,482180.85572499986
2022-04-07,0.5799045591468306,0.5828613341252357,0.5697480375439145,0.5697578420713212,375151.13103099976
2022-04-08,0.5697578420713212,0.5804976849481871,0.5693465103881986,0.5804904731875293,275995.97481299995
2022-04-09,0.5804904731875293,0.58130006642824,0.5746492819833611,0.5746492827575407,336117.27845499996
2022-04-10,0.5746492827575407,0.5789136109035125,0.5687726707525219,0.5719998763473592,390235.7699969999
2022-04-11,0.5719998763473592,0.5926204819796353,0.5719986517369873,0.5852820632955944,808906.24818
2022-04-12,0.5852820632955944,0.5946571723978942,0.5793669080282889,0.591579185744908,691537.786893
2022-04-13,0.591579185744908,0.5985366662891477,0.5874197216946964,0.5985366662891477,681962.8483240001
2022-04-14,0.5985366662891477,0.6051623141270052,0.5929463967587852,0.6051146948221622,429890.27092699986
2022-04-15,0.6051146948221622,0.6173461740570537,0.6051146948221622,0.6101973343710559,521310.03978299984
2022-04-16,0.6101973343710559,0.6140638609422894,0.6095448923696752,0.6128541205752635,169697.995872
2022-04-17,0.6128541205752635,0.6160900582832938,0.6094045337039876,0.6160747818377023,180504.31269399996
2022-04-18,0.6160747818377023,0.6244588343292583,0.6106106475609944,0.6106147773492475,469522.54179499997
2022-04-19,0.6106147773492475,0.6177165259832906,0.5973134742323746,0.5973722776959391,657390.8009519998
2022-04-20,0.5973722776959391,0.6008945266222846,0.5830528470662976,0.5835678845061155,643631.7915649998
2022-04-21,0.5835678845061155,0.5844213791304755,0.57456037785673,0.5753695258787578,214000.47060300002
2022-04-22,0.5753695258787578,0.5762254851731967,0.5640448820959132,0.565921543637123,511107.6626079999
2022-04-23,0.565921543637123,0.5666926102374166,0.5642397409096538,0.5647492042638548,125391.15238
2022-04-24,0.5647492042638548,0.5661468304703953,0.5353783523843236,0.5387691150392391,1416130.0491230001
2022-04-25,0.5387691150392391,0.5486851225888351,0.5337595375017115,0.5338743125819851,818457.618157
2022-04-26,0.5338743125819851,0.5350385939753085,0.5241388003329354,0.5305512120891804,420260.895154
2022-04-27,0.5305512120891804,0.5351564344153913,0.5274994167205819,0.5304177745016266,419919.243064
2022-04-28,0.5304177745016266,0.5342231376784408,0.5266680452720763,0.5267723271878305,320929.69651299994
2022-04-29,0.5267723271878305,0.5315527786090656,0.5171581812951466,0.5176319852773953,621479.3075569997
2022-04-30,0.5176319852773953,0.5199261347079693,0.5078407661143522,0.5185160095133219,769205.3942109998
2022-05-01,0.5185160095133219,0.5196999816559528,0.5129048414486362,0.5136846884668194,263956.13093600003
2022-05-02,0.5136846884668194,0.5143206555927602,0.5092419787430988,0.5118398780629869,455790.57441400003
2022-05-03,0.5118398780629869,0.5118398780629869,0.4973915903466998,0.49952339397916945,683014.1341159998
2022-05-04,0.49952339397916945,0.5010447287841358,0.46891150575370555,0.46891150575370555,1041411.2120359996
2022-05-05,0.46891150575370555,0.48845916795662725,0.46891150575370555,0.48696054696581514,477584.12914
2022-05-06,0.48696054696581514,0.4892142793692297,0.4856898257592686,0.4868020112851141,291873.5545729999
2022-05-07,0.4868020112851141,0.4997914962445568,0.4868020112851141,0.4996839858770924,430023.4336250003
2022-05-08,0.4996839858770924,0.505807594506661,0.4992449982230779,0.5052605223186014,241394.4809999999
2022-05-09,0.5052605223186014,0.5164638840898061,0.49790020143552355,0.498773766607583,1473454.7006269996
2022-05-10,0.498773766607583,0.5035866770057603,0.4919063661412545,0.5009514677908621,668318.3581310001
2022-05-11,0.5009514677908621,0.506487811436314,0.4952982642608226,0.4953467114959547,1289303.217856
2022-05-12,0.4953467114959547,0.4964024626104935,0.4604551035510668,0.4604618649761317,1920851.770042
2022-05-13,0.4604618649761317,0.46183848499797936,0.4562966165814543,0.45867055127664036,340674.734482
2022-05-14,0.45867055127664036,0.45889983059706035,0.4515720278600112,0.4516949564626567,173197.65500000003
2022-05-15,0.4516949564626567,0.4534774120192095,0.44835719759373044,0.44934627482944983,223133.034502
2022-05-16,0.44934627482944983,0.45405801427319403,0.4447096001579155,0.45221477991943787,506563.0248189998
2022-05-17,0.45221477991943787,0.45695910975068965,0.4506462560104195,0.45149253223020175,256105.19480399997
2022-05-18,0.45149253223020175,0.45939512511515757,0.4514796551597401,0.45852186112719345,182012.91709299997
