date,open,high,low,close,volume
2022-03-21,0.0425757,0.0427610,0.0406606,0.0406606,695.474107
2022-03-22,0.0406606,0.0407557,0.0390857,0.0407557,969.082694
2022-03-23,0.0407557,0.0424619,0.0407545,0.0417217,719.711507
2022-03-24,0.0417217,0.0418943,0.0417217,0.0418943,50
2022-03-25,0.0418943,0.0421027,0.0418943,0.0420363,181.691236
2022-03-26,0.0420363,0.0446731,0.0399293,0.0399293,2695.341819
2022-03-27,0.0399293,0.0433478,0.0386358,0.0433478,2684.836794
2022-03-28,0.0433478,0.0434511,0.0429824,0.0429824,162.200992
2022-03-29,0.0429824,0.0430139,0.0429824,0.0430139,9
2022-03-30,0.0430139,0.0430502,0.0426021,0.0426021,154.530124
2022-03-31,0.0426021,0.0427522,0.0417302,0.0417302,334.654666
2022-04-01,0.0417302,0.0417302,0.0333619,0.0388390,5033.104643
2022-04-02,0.0388390,0.0401737,0.0388390,0.0401164,414.865411
2022-04-03,0.0401164,0.0401739,0.0398636,0.0398636,132.070284
2022-04-04,0.0398636,0.0400334,0.0343292,0.0343292,1796.616424
2022-04-05,0.0343292,0.0419475,0.0343292,0.0371792,3701.774821
2022-04-06,0.0371792,0.0448203,0.0358515,0.0413614,5505.486147
2022-04-07,0.0413614,0.0420988,0.0400286,0.0401959,1461.906378
2022-04-08,0.0401959,0.0404523,0.0401959,0.0404523,126.362731
2022-04-09,0.0404523,0.0404744,0.0400416,0.0404744,242.459645
2022-04-10,0.0404744,0.0404744,0.0352660,0.0352660,1549.062006
2022-04-11,0.0352660,0.0361538,0.0337955,0.0339373,1272.981801
2022-04-12,0.0339373,0.0367204,0.0338954,0.0367204,1325.643954
2022-04-13,0.0367204,0.0371477,0.0367204,0.0368129,228.981508
2022-04-14,0.0368129,0.0369205,0.0358463,0.0369205,1002.202726
2022-04-15,0.0369205,0.0369205,0.0318578,0.0318578,2151.22267
2022-04-16,0.0318578,0.0318578,0.0299492,0.0300972,696.550924
2022-04-17,0.0300972,0.0300972,0.0296955,0.0296955,134.711292
2022-04-18,0.0296955,0.0311926,0.0296955,0.0311926,490
2022-04-19,0.0311926,0.0316265,0.0311525,0.0316265,165.836393
2022-04-20,0.0316265,0.0332003,0.0283584,0.0283584,2073.513697
2022-04-21,0.0283584,0.0283584,0.0249935,0.0260323,2539.183665
2022-04-22,0.0260323,0.0265357,0.0257105,0.0265357,403.211841
2022-04-23,0.0265357,0.0265357,0.0265357,0.0265357,30
2022-04-24,0.0265357,0.0268885,0.0265357,0.0268493,487.511236
2022-04-25,0.0268493,0.0272405,0.0227876,0.0227876,2112.219857
2022-04-26,0.0227876,0.0230521,0.0208498,0.0215622,1222.565812
2022-04-27,0.0215622,0.0226003,0.0212316,0.0212596,935.174558
2022-04-28,0.0212596,0.0219838,0.0212596,0.0218705,413.085784
2022-04-29,0.0218705,0.0221295,0.0212727,0.0215281,529.795945
2022-04-30,0.0215281,0.0228279,0.0215281,0.0215401,990.513387
2022-05-01,0.0215400,0.0215400,0.0190195,0.0197177,1291.857005
2022-05-02,0.0197177,0.0203565,0.0197177,0.0203565,449.991041
2022-05-03,0.0203565,0.0217216,0.0203565,0.0210044,838.893633
2022-05-04,0.0210044,0.0210550,0.0209285,0.0209285,69.563904
2022-05-05,0.0209285,0.0209285,0.0194516,0.0194516,996.163418
2022-05-06,0.0194516,0.0194717,0.0183257,0.0183257,1010.425731
